,country__name,location,n,name
546,Brazil,SRID=4326;POINT (-38.54306 -3.71722),1,Fortaleza
547,Russia,SRID=4326;POINT (65.52722 57.15222),1,Tyumen
548,Palestinian Territory,SRID=4326;POINT (35.20422 31.89964),1,Ramallah
549,Pakistan,SRID=4326;POINT (72.85525 29.19344),1,Fort Abbās
550,Panama,SRID=4326;POINT (-79.51973 8.993600000000001),1,Panamá
551,China,SRID=4326;POINT (122.20488 29.98869),1,Zhoushan
552,France,SRID=4326;POINT (-1.77327 48.14848),1,Pacé
553,South Africa,SRID=4326;POINT (28.12843 -25.98953),1,Midrand
554,Philippines,SRID=4326;POINT (120.5875 16.455),1,La Trinidad
555,Netherlands,SRID=4326;POINT (5.91111 51.98),1,Arnhem
556,United States,SRID=4326;POINT (-72.92816000000001 41.30815),1,New Haven
557,Finland,SRID=4326;POINT (24.6522 60.2052),1,Espoo
558,United States,SRID=4326;POINT (-71.04116 42.1626),1,Randolph
559,China,SRID=4326;POINT (117.43333 49.6),1,Manzhouli
560,Kenya,SRID=4326;POINT (39.66359 -4.05466),1,Mombasa
561,Iran,SRID=4326;POINT (50.0041 36.26877),1,Qazvin
562,Spain,SRID=4326;POINT (-3.79028 37.76922),1,Jaén
563,Italy,SRID=4326;POINT (11.88068 43.46276),1,Arezzo
564,Brazil,SRID=4326;POINT (-38.51083 -12.97111),1,Salvador
565,United States,SRID=4326;POINT (-81.65564999999999 30.33218),1,Jacksonville
566,China,SRID=4326;POINT (109.82222 40.65222),1,Baotou
567,Germany,SRID=4326;POINT (7.57883 50.35357),1,Koblenz
568,Nigeria,SRID=4326;POINT (6.91729 6.01962),1,Nnewi
569,Philippines,SRID=4326;POINT (121.03269 14.55027),1,Makati City
570,Mexico,SRID=4326;POINT (-104.65756 24.02032),1,Victoria de Durango
571,United States,SRID=4326;POINT (-122.01913 37.59577),1,Union City
572,United States,SRID=4326;POINT (-72.74954 42.12509),1,Westfield
573,United States,SRID=4326;POINT (-83.55521 41.66394),1,Toledo
574,France,SRID=4326;POINT (5.38107 43.29695),1,Marseille
575,United States,SRID=4326;POINT (-94.00915000000001 44.15906),1,Mankato
576,United States,SRID=4326;POINT (-74.28458999999999 40.5576),1,Woodbridge
577,United States,SRID=4326;POINT (-80.15394000000001 25.84621),1,North Bay Village
578,China,SRID=4326;POINT (131.15389 46.63611),1,Shuangyashan
579,United Kingdom,SRID=4326;POINT (-1.09125 50.79899),1,Portsmouth
580,South Africa,SRID=4326;POINT (22.46173 -33.963),1,George
581,United States,SRID=4326;POINT (-74.2632 40.6976),1,Union
582,Australia,SRID=4326;POINT (145.76625 -16.92304),1,Cairns
583,Kazakhstan,SRID=4326;POINT (71.44598000000001 51.1801),1,Astana
584,Isle of Man,SRID=4326;POINT (-4.48333 54.15),1,Douglas
585,New Zealand,SRID=4326;POINT (170.50361 -45.87416),1,Dunedin
